Test,RunTime
workitem-probs,6703
two-cap-prob,67
cap-prob,68
addr-probs,225
bib-to-end-with-synth,3897
date-probs,126
FlashFillExamples/extr-num,74
FlashFillExamples/extr-fname-err,119
FlashFillExamples/extr-quant,69
FlashFillExamples/extr-fname,170
AugeasExamples/avahi,222
AugeasExamples/afs-cellalias,272
AugeasExamples/backuppchosts,272
AugeasExamples/carbon,472
AugeasExamples/bbhosts,2068
AugeasExamples/xml-l1,7938
AugeasExamples/activemq,272
AugeasExamples/cgconfig,474
AugeasExamples/cgrules,322
AugeasExamples/aptprefs,291
AugeasExamples/apt-upd-mgr,254
AugeasExamples/chrony,460
AugeasExamples/access,345
AugeasExamples/aptconf,326
AugeasExamples/aptcrngsec,226
AugeasExamples/aptconf-l1,1046
AugeasExamples/xml,2497
AugeasExamples/cron,588
AugeasExamples/cachefilesd,220
AugeasExamples/approx,220
AugeasExamples/bootconf,318
AugeasExamples/anacron,279
AugeasExamples/automaster,521
AugeasExamples/channels,772
AugeasExamples/alias,222
AugeasExamples/auth-keys,745
AugeasExamples/automounter,971
AugeasExamples/hosts,270
AugeasExamples/aptsources,374
