Test,RunTime
workitem-probs,7345
two-cap-prob,71
cap-prob,72
addr-probs,272
bib-to-end-with-synth,282
date-probs,121
FlashFillExamples/extr-num,96
FlashFillExamples/extr-fname-err,121
FlashFillExamples/extr-quant,87
FlashFillExamples/extr-fname,178
AugeasExamples/avahi,257
AugeasExamples/afs-cellalias,279
AugeasExamples/backuppchosts,272
AugeasExamples/carbon,473
AugeasExamples/bbhosts,2717
AugeasExamples/xml-l1,9385
AugeasExamples/activemq,307
AugeasExamples/cgconfig,646
AugeasExamples/cgrules,450
AugeasExamples/aptprefs,344
AugeasExamples/apt-upd-mgr,267
AugeasExamples/chrony,464
AugeasExamples/access,626
AugeasExamples/aptconf,579
AugeasExamples/aptcrngsec,243
AugeasExamples/aptconf-l1,1179
AugeasExamples/xml,2913
AugeasExamples/cron,737
AugeasExamples/cachefilesd,223
AugeasExamples/approx,223
AugeasExamples/bootconf,368
AugeasExamples/anacron,328
AugeasExamples/automaster,604
AugeasExamples/channels,913
AugeasExamples/alias,238
AugeasExamples/auth-keys,940
AugeasExamples/automounter,1097
AugeasExamples/hosts,351
AugeasExamples/aptsources,439
